月間有効求人倍率（一般）,総人口に占める男性の割合,15歳未満人口割合,15～64歳人口割合,65歳以上人口割合,合計特殊出生率,転入者数（日本人移動者）,転出者数（日本人移動者）,結婚件数,離婚件数,着工建築物数,着工新設住宅戸数,着工新設持家数,着工新設貸家数,着工新設分譲住宅数,標準価格（平均価格）（住宅地）,標準価格（平均価格）（商業地）,幼稚園在園者数,幼稚園一園あたりの在園者数,幼稚園教員一人当たりの在園者数,小学校一校あたりの児童数,小学校教員一人当たりの児童数,中学校一校あたりの生徒数,中学校教員一人当たりの生徒数,中学校卒業者のうち進学者数の割合,高等学校一校あたりの生徒数,高等学校教員一人当たりの生徒数,高等学校卒業者のうち進学者数の割合,大学一校あたりの学生数,大学教員一人当たりの学生数,大学卒業者のうち進学者数の割合,一般旅券発行件数,着工新設住宅戸数,医療施設数,保育所等一施設あたりの在所児数,保育所等保育士一人当たりの在所児数,保育所等在所児数,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,光熱・水道費（二人以上の世帯）,家具・家事用品費（二人以上の世帯）,被服及び履物費（二人以上の世帯）,保健医療費（二人以上の世帯）,交通・通信費（二人以上の世帯）,教育費（二人以上の世帯）,教養娯楽費（二人以上の世帯）,その他の消費支出（二人以上の世帯）,米FRB金利,日銀金利,NYダウ平均株価,日経平均株価,ドル円為替レート,県内総生産（名目）
0.317793163,0.472845764,0.120021723,0.635409124,0.241491673,1.19,0.01,0.01,0.005117849,0.002225561,0.003484613,0.004999276,0.001872194,0.002618755,0.000451122,20500,68300,0.01198063,118.1803571,12.57715697,217.0436137,14.08490852,217.9239766,11.84237706,0.977452832,461.7206349,12.50683636,0.409113999,2247.694444,12.65910513,0.141869105,0.018091962,0.004999276,0.000705286,78.32790989,6.76437527,0.011329471,288835,62866,18854,23040,8041,12801,13084,38017,11854,32113,68166,0.25,0.102,10428.05,10546.44,94.49,3.298173968
0.368840879,0.47332372,0.121665465,0.640771449,0.235219899,1.20,0.01,0.01,0.005247837,0.002284968,0.003847873,0.006497837,0.002033526,0.003610851,0.000773612,22000,75200,0.012216294,120.5978648,13.03384615,216.6113236,14.2725852,219.4905386,11.98172427,0.976772713,462.7258567,12.59731999,0.412492335,2263.972222,12.8858498,0.130617505,0.016916907,0.006497837,0.000702776,77.44524669,6.941005177,0.011600036,288692,64770,23728,25648,8849,11811,10931,36944,10787,30331,64893,2,0.503,8776.39,8859.56,106.76,3.326939077
1.138031981,0.469502408,0.106741573,0.560995185,0.333065811,1.38,0.01,0.02,0.003692616,0.00161236,0.005376404,0.004752809,0.003020867,0.001101124,0.000551364,16200,33700,0.003914125,55.42045455,7.457186544,201.7234043,12.16292495,194.075,10.24818482,0.979920052,442.8026316,11.24390244,0.465971363,1534.4,11.10274964,0.075240595,0.013898876,0.004752809,0.00076565,70.15625,10.81406551,0.027026485,243609,66593,14278,28089,10404,7237,10276,37287,5095,20596,43755,2.35,-0.071,28538.44,23656.62,108.23,3.4892023
1.198171225,0.469517023,0.108471892,0.565320665,0.326207443,1.43,0.01,0.02,0.003750594,0.00160095,0.005537609,0.005326207,0.003057007,0.001709422,0.000550277,16300,33600,0.004020586,57.70454545,7.996850394,203.4634146,12.29606233,198.3765432,10.47490222,0.980444444,453.2727273,11.50362558,0.461739585,1519.6,10.9010043,0.075843535,0.013115598,0.005326207,0.000763262,69.24634656,10.93603693,0.026262074,251459,68455,17656,28448,9079,8361,11139,38005,4836,20251,45229,1.95,-0.07,23327.46,20014.77,111.41,3.463514648
1.11712711,0.469483568,0.110328638,0.57198748,0.318466354,1.43,0.01,0.02,0.004007825,0.001636933,0.005266823,0.005050078,0.00291471,0.001647105,0.000438967,16300,33600,0.004486698,61,8.250359712,204.9584775,12.46223438,210.689441,10.77541296,0.980473373,459.8076923,11.71675923,0.468635316,1505.5,11.10250737,0.076306413,0.012046948,0.005050078,0.000750391,70.54175589,10.1300738,0.025776995,246650,69216,13980,27751,8785,7371,11031,30689,5877,21813,50136,1.25,-0.054,24719.22,22764.94,112.5,3.468265258
0.956844817,0.470224285,0.112142305,0.578499613,0.310131477,1.48,0.01,0.02,0.003971384,0.001673627,0.005184841,0.005037123,0.00283836,0.001814385,0.000364269,16400,33900,0.004650425,60.13,8.457102672,206.9761092,12.71362683,215.1818182,10.92461538,0.9821154,457.75,11.89733593,0.445262113,1497.2,11.24024024,0.078962704,0.011526682,0.005037123,0.000745553,71.62931034,9.729508197,0.025704563,236801,69202,9368,26793,9614,7771,9884,30923,5689,18255,49302,0.5,-0.043,19762.6,19114.37,103.97,3.495775715
0.770966301,0.469854349,0.113285917,0.579291657,0.298823251,1.43,0.01,0.02,0.004152064,0.001732829,0.004840762,0.004453226,0.00257058,0.001394213,0.000474674,16700,34500,0.004993637,61.05607477,9.72172619,207.6788079,12.921096,221.1987952,11.25659105,0.981288146,467.6125,12.09473004,0.436366607,1473.6,11.33538462,0.080237278,0.010164607,0.004453226,0.00074144,71.34193548,8.700236035,0.025357248,226214,61805,10343,27941,10105,6888,9631,28664,6719,17920,46196,0.25,0.074,17425.03,19033.71,123.31,3.459311378
0.659748928,0.470143613,0.117157974,0.592592593,0.289493575,1.42,0.01,0.02,0.004142857,0.001659108,0.004600151,0.004179894,0.002534392,0.001311413,0.000329554,17100,35400,0.006006047,66.77310924,10.52450331,209.2774194,13.18349929,223.452381,11.47310513,0.981446392,466.6585366,12.09800822,0.439706703,1463.5,11.13774734,0.075540664,0.010248677,0.004179894,0.000737717,73.89955357,6.407393071,0.025024187,243627,63139,9693,30606,9222,8087,12354,32782,4986,19572,53187,0.25,0.066,17823.07,17450.77,101.73,3.29256387
0.582773774,0.469708302,0.118922962,0.601346298,0.278982797,1.40,0.01,0.02,0.004280479,0.001746447,0.005122663,0.004827225,0.003145849,0.00145101,0.000213164,17700,36700,0.006095737,67.91666667,9.902794654,213.2721519,13.28746057,227.5266272,11.61691843,0.975331925,474.1219512,12.19510665,0.427028744,1465.8,11.27538462,0.079952621,0.011195961,0.004827225,0.000733732,72.82570806,6.273836336,0.025001496,246445,62383,13864,29311,8995,8959,9992,32405,12268,19961,48308,0.25,0.073,16576.66,16291.31,99.66,3.202729993
0.489966528,0.47037037,0.121481481,0.608888889,0.26962963,1.36,0.01,0.02,0.00433037,0.001783704,0.00445037,0.004131852,0.002491111,0.001365926,0.000257778,19200,38200,0.006371852,70.50819672,10.54166667,215.9721362,13.5506993,231.6117647,11.85249849,0.976190476,471.0235294,12.2888275,0.413953488,1463.6,11.08787879,0.082609997,0.0139,0.004131852,0.000725185,73.21748879,6.350641774,0.024188889,251153,61839,13668,29040,10381,9811,10989,28739,8907,23000,54779,0.25,0.084,13104.14,10395.18,78.96,3.22521037
0.366623367,0.470286134,0.12325752,0.616287601,0.260454879,1.38,0.01,0.02,0.004096112,0.001743947,0.004038151,0.003730741,0.002244314,0.001244314,0.000238445,20300,40700,0.006482025,68.48837209,10.59352518,217.4954955,13.7014756,236.8947368,12.04907793,0.968589419,480.9176471,12.26094781,0.411755829,1484.8,11.37777778,0.088208821,0.01205796,0.003730741,0.000725605,72.87919463,6.367670055,0.023900954,260743,64734,14803,28662,9103,9856,11112,30439,10641,22516,58878,0.25,0.073,12217.56,8455.35,79.44,3.173694791
